chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue)
1,1138,1698,560,1555,31.8,13.1435,4.72308,11.2606
1,10778,11025,247,10914,31.04,10.7386,3.82394,8.93288
1,21733,22089,356,21906,28.77,13.0273,5.06431,11.1499
1,30846,31328,482,31153,38.62,27.7736,9.34572,25.5684
1,56411,56810,399,56701,39.37,18.8104,5.59851,16.7822
1,58912,60063,1151,59296,98.43,41.4578,5.52412,39.0451
1,67914,68782,868,68569,30.29,21.2936,8.26523,19.21
1,74667,74953,286,74778,24.23,5.931,2.80333,4.33844
1,76515,76811,296,76652,36.34,19.6128,6.30827,17.566
1,79599,79950,351,79798,21.2,9.62962,4.51657,7.86683
1,86823,87092,269,87005,21.2,6.67356,3.27403,5.04229
1,93832,94117,285,93983,46.19,16.6548,4.28985,14.6776
1,122439,122929,490,122726,35.59,21.584,7.31755,19.495
1,128818,129175,357,129014,87.08,38.167,5.66226,35.8003
1,163520,163844,324,163742,68.9,19.3084,3.67916,17.2688
1,171465,171801,336,171608,36.34,22.9347,7.6292,20.8174
1,178763,179171,408,178916,46.19,11.4765,3.14589,9.64848
1,180147,180653,506,180404,121.15,116.629,19.297,113.572
1,197964,198353,389,198097,17.42,8.93975,4.86478,7.20266
1,199405,199865,460,199412,19.69,5.34328,2.97867,3.78544
1,235258,235752,494,235437,98.43,89.5803,16.7963,86.7023
1,238067,238493,426,238267,24.99,13.7196,6.10099,11.8211
1,257289,257926,637,257699,56.03,52.4372,15.0661,49.8913
1,261216,261512,296,261403,33.32,12.6807,4.28952,10.8118
1,270371,270965,594,270730,101.46,73.307,11.3848,70.5588
1,273235,273448,213,273314,15.9,5.45306,3.45269,3.88913
1,289263,289930,667,289456,55.27,33.833,8.03923,31.5269
1,293462,293963,501,293766,68.15,39.3585,7.68724,36.9746
1,325475,325821,346,325569,21.96,6.40804,3.27977,4.79368
1,328567,329151,584,328997,30.29,6.22951,2.60729,4.62287
1,332271,332686,415,332448,57.55,34.501,7.96005,32.1871
1,347798,349327,1529,349113,31.04,14.4037,5.06234,12.4854
1,350648,350910,262,350793,21.2,11.0597,5.1872,9.24293
1,351624,351921,297,351719,15.14,7.33522,4.2647,5.66609
1,356856,357301,445,357114,24.23,15.2291,6.66502,13.2852
1,395870,396376,506,396101,85.56,57.0545,9.84779,54.461
1,405190,405508,318,405304,36.34,25.4368,8.72545,23.2732
1,409003,410071,1068,409421,938.15,1938.7,234.788,1933.58
1,424982,425251,269,425128,21.2,12.4171,5.86492,10.555
1,431772,432203,431,431960,20.44,5.83711,3.06343,4.2523
1,440083,440349,266,440231,17.42,7.66489,4.202,5.98255
1,445710,446243,533,446060,23.47,11.0053,4.89456,9.19069
1,478961,479516,555,479198,34.83,25.6178,9.46539,23.4485
1,493376,494301,925,493936,30.29,17.8208,6.64207,15.8171
1,494974,495297,323,495179,24.23,11.4415,4.88811,9.61483
1,512021,513217,1196,512999,112.82,38.7053,4.55283,36.3309
1,515880,516136,256,515939,16.66,5.04423,3.1009,3.51436
1,522853,523108,255,522947,30.29,10.3914,3.82721,8.59857
1,524971,525558,587,525428,21.2,9.46042,4.44024,7.70307
1,533258,534030,772,533878,26.5,11.0139,4.49004,9.19834
1,550405,550610,205,550518,15.9,5.51009,3.48185,3.94308
1,555234,555937,703,555736,86.32,24.9631,3.79649,22.8081
1,569586,569930,344,569744,15.9,4.92243,3.18585,3.39827
1,594785,594998,213,594887,17.42,6.77052,3.76206,5.13541
1,600695,601300,605,600963,182.48,165.344,18.3482,162.038
1,605263,605575,312,605295,26.5,6.0158,2.75015,4.41853
1,650606,651205,599,650744,30.29,16.6401,6.13479,14.6637
